x, y
0.1, 0.4878048780487805
0.9, 0.4065040650406504
1.9000000000000001, 0.4065040650406504
2.7, 0.3252032520325203
3.8000000000000003, 0.5691056910569106
4.7, 0.6504065040650406
5.6000000000000005, 0.7317073170731707
6.5, 0.6504065040650406
7.300000000000001, 0.5691056910569106
8.200000000000001, 0.4878048780487805
9.1, 0.24390243902439024
9.9, -0.16260162601626016
10.5, -0.7317073170731707
11.200000000000001, -1.2195121951219512
12.100000000000001, -1.6260162601626016
13.200000000000001, -1.7886178861788617
14.100000000000001, -2.0325203252032518
15.100000000000001, -1.951219512195122
16.2, -1.5447154471544715
17, -0.975609756097561
18, -0.6504065040650406
19, -0.16260162601626016
19.900000000000002, 0.08130081300813008
20.8, 0.16260162601626016
21.900000000000002, 0.16260162601626016
22.8, 0.3252032520325203